Debate	ID	Speaker	ALL	CT	ABC	CNN	WP	NPR	PF	TG	NYT	FC	Text

Chunk #0:
04_10_2016	82	PENCE	2	1	0	0	0	1	0	0	0	0	At a time when literally, in the wake of Hillary Clinton's tenure as secretary of state, where she was the architect of the Obama administration's foreign policy, we see entire portions of the world, particularly the wider Middle East, literally spinning out of control.
04_10_2016	83	PENCE	1	1	0	0	0	0	0	0	0	0	I mean, the situation we're watching hour by hour in Syria today is the result of the failed foreign policy and the weak foreign policy that Hillary Clinton helped lead in this administration and create.
04_10_2016	84	PENCE	1	1	0	0	0	0	0	0	0	0	The newly emboldened -- the aggression of Russia, whether it was in Ukraine or now they're heavy-handed approach...
04_10_2016	85	KAINE	1	0	0	1	0	0	0	0	0	0	You guys love Russia.

Chunk #1:
04_10_2016	115	PENCE	1	0	1	0	0	0	0	0	0	0	I mean, the reality is, when she was secretary of state, Senator, come on.
04_10_2016	116	PENCE	2	0	1	0	0	0	1	0	0	0	She had a Clinton Foundation accepting contributions from foreign governments.

Chunk #2:
04_10_2016	145	KAINE	1	0	0	0	0	0	0	0	0	1	She worked to deal with the Russians to reduce their chemical weapons stockpile.
04_10_2016	146	KAINE	6	0	1	0	0	1	1	1	1	1	She worked a tough negotiation with nations around the world to eliminate the Iranian nuclear weapons program without firing a shot.
04_10_2016	147	PENCE	3	0	1	0	0	0	0	1	1	0	Eliminate the Iranian nuclear weapons program?
04_10_2016	148	KAINE	3	0	1	0	0	0	0	1	1	0	Absolutely, without firing a shot.
04_10_2016	149	KAINE	1	0	1	0	0	0	0	0	0	0	And instead of 175,000 American troops deployed overseas, we now have 15,000.

Chunk #3:
04_10_2016	162	PENCE	2	0	1	1	0	0	0	0	0	0	... and overrun vast areas of Iraq.
04_10_2016	163	KAINE	2	0	0	0	0	1	0	0	0	1	Governor, President Bush said we would leave Iraq at the end of 2011.
04_10_2016	164	KAINE	2	0	0	0	0	1	0	0	0	1	And, Elaine, Iraq didn't want our troops to stay, and they wouldn't give us the protection for our troops.
04_10_2016	165	KAINE	2	0	0	0	0	1	0	0	0	1	And guess what?
04_10_2016	166	KAINE	2	0	0	0	0	1	0	0	0	1	If a nation where our troops are serving does not want us to stay, we're not going to stay without their protection.
04_10_2016	167	PENCE	3	0	0	0	0	0	0	1	1	1	It was a failure of the secretary of state...

Chunk #4:
04_10_2016	180	PENCE	2	1	0	0	0	0	0	0	0	1	The state of Indiana has balanced budgets.
04_10_2016	181	PENCE	1	0	0	0	0	0	0	0	0	1	We cut taxes, we've made record investments in education and in infrastructure, and I still finish my term with $2 billion in the bank.

Chunk #5:
04_10_2016	185	PENCE	2	0	0	0	0	1	0	0	0	1	In the state of Indiana, we've cut unemployment in half; unemployment doubled when he was governor.
04_10_2016	186	PENCE	1	1	0	0	0	0	0	0	0	0	But I think he's a very fitting running mate for Hillary Clinton, because in the wake of a season where American families are struggling in this economy under the weight of higher taxes and Obamacare and the war on coal and the stifling avalanche of regulation coming out of this administration, Hillary Clinton and Tim Kaine want more of the same.

Chunk #6:
04_10_2016	189	PENCE	3	1	0	0	0	1	0	0	1	0	But a trillion dollars in tax increases, more regulation, more of the same war on coal, and more of Obamacare that now even former President Bill Clinton calls Obamacare a crazy plan.
04_10_2016	190	PENCE	2	1	0	0	0	0	1	0	0	0	But Hillary Clinton and Tim Kaine want to build on Obamacare.
04_10_2016	191	PENCE	3	1	0	0	1	0	1	0	0	0	They want to expand it into a single-payer program.
04_10_2016	192	PENCE	1	1	0	0	0	0	0	0	0	0	And for all the world, Hillary Clinton just thinks Obamacare is a good start.
04_10_2016	193	PENCE	2	0	0	0	0	1	0	0	1	0	Look, Donald Trump and I have a plan to get this economy moving again just the way that it worked in the 1980s, just the way it worked in the 1960s, and that is by lowering taxes across the board for working families, small businesses and family farms, ending the war on coal that is hurting jobs and hurting this economy even here in Virginia, repealing Obamacare lock, stock, and barrel, and repealing all of the executive orders that Barack Obama has signed that are stifling economic growth in this economy.

Chunk #7:
04_10_2016	211	KAINE	1	0	1	0	0	0	0	0	0	0	The Trump plan is a different plan.
04_10_2016	212	KAINE	1	0	1	0	0	0	0	0	0	0	It's a "you're fired" plan.
04_10_2016	213	KAINE	1	0	1	0	0	0	0	0	0	0	And there's two key elements to it.
04_10_2016	214	KAINE	4	0	1	0	0	1	1	0	0	1	First, Donald Trump said wages are too high.
04_10_2016	215	KAINE	3	0	1	1	0	0	1	0	0	0	And both Donald Trump and Mike Pence think we ought to eliminate the federal minimum wage.
04_10_2016	216	KAINE	1	0	1	0	0	0	0	0	0	0	Mike Pence, when he was in Congress, voted against raising the minimum wage above $5.15.
04_10_2016	217	KAINE	1	0	1	0	0	0	0	0	0	0	And he has been a one-man bulwark against minimum wage increases in Indiana.
04_10_2016	218	KAINE	1	0	0	0	0	1	0	0	0	0	The second component of the plan is massive tax breaks for the very top, trillions of dollars of tax breaks for people just like Donald Trump.
04_10_2016	219	KAINE	2	0	0	0	0	0	0	1	1	0	The problem with this, Elaine, is that's exactly what we did 10 years ago and it put the economy into the deepest recession -- the deepest recession since the 1930s.
04_10_2016	220	KAINE	2	0	0	0	0	1	0	0	0	1	Independent analysts say the Clinton plan would grow the economy by 10.5 million jobs.
04_10_2016	221	KAINE	1	0	0	0	0	0	0	0	0	1	The Trump plan would cost 3.5 million jobs.

Chunk #8:
04_10_2016	233	PENCE	1	0	0	0	0	0	0	0	0	1	I mean, the truth of the matter is, the policies of this administration, which Hillary Clinton and Senator Kaine want to continue, have run this economy into a ditch.
04_10_2016	234	PENCE	1	0	0	1	0	0	0	0	0	0	We're in the...
04_10_2016	235	KAINE	3	0	0	0	0	0	1	1	0	1	Fifteen million new jobs?
04_10_2016	236	PENCE	1	0	0	1	0	0	0	0	0	0	... slowest economic recovery since the Great Depression.

Chunk #9:
04_10_2016	240	PENCE	2	0	0	1	0	0	0	0	1	0	There are millions more people living in poverty today than the day that Barack Obama with Hillary Clinton at his side...
04_10_2016	241	KAINE	1	0	0	0	0	1	0	0	0	0	And the poverty level and the median income...
04_10_2016	242	PENCE	1	0	0	0	0	1	0	0	0	0	... stepped into the Oval Office.
04_10_2016	243	KAINE	1	0	0	0	0	1	0	0	0	0	... improved dramatically between 2014 and 2015.

Chunk #10:
04_10_2016	277	PENCE	2	0	1	1	0	0	0	0	0	0	And he will.
04_10_2016	278	KAINE	1	0	1	0	0	0	0	0	0	0	He's broken his first promise.

Chunk #11:
04_10_2016	291	KAINE	1	0	0	0	0	1	0	0	0	0	Governor Pence had to give Donald Trump his tax returns to show he was qualified to be vice president.
04_10_2016	292	KAINE	1	0	0	0	0	1	0	0	0	0	Donald Trump must give the American public his tax returns to show that he's qualified to be president.
04_10_2016	293	KAINE	1	0	0	0	0	1	0	0	0	0	And he's breaking his promise.

Chunk #12:
04_10_2016	304	KAINE	6	0	1	0	0	1	1	1	1	1	Richard Nixon released tax returns when he was under audit.
04_10_2016	305	PENCE	1	0	0	0	0	0	0	0	0	1	They're going to raise your taxes.
04_10_2016	306	PENCE	1	0	0	0	0	0	0	0	0	1	We're going to cut your taxes.
04_10_2016	307	QUIJANO	1	0	0	0	0	0	0	0	0	1	Gentlemen...
04_10_2016	308	KAINE	1	0	0	0	0	0	0	0	0	1	If you can't meet Nixon's standard...

Chunk #13:
04_10_2016	324	KAINE	2	0	0	0	0	1	1	0	0	0	We will never, ever engage in a risky scheme to privatize Social Security.
04_10_2016	325	KAINE	4	0	0	1	0	1	1	1	0	0	Donald Trump wrote a book and he said Social Security is a Ponzi scheme and privatization would be good for all of us.
04_10_2016	326	KAINE	3	0	1	0	0	0	0	0	1	1	And when Congressman Pence was in Congress, he was the chief cheerleader for the privatization of Social Security.
04_10_2016	327	KAINE	1	0	1	0	0	0	0	0	0	0	Even after President Bush stopped pushing for it, Congressman Pence kept pushing for it.

Chunk #14:
04_10_2016	352	KAINE	2	0	1	0	0	0	0	0	0	1	You're not going to cut taxes.
04_10_2016	353	KAINE	2	0	1	0	0	0	0	0	0	1	You're going to raise taxes on the middle class.
04_10_2016	354	PENCE	1	0	1	0	0	0	0	0	0	0	... reform government programs so we can meet the obligations of Social Security and Medicare.

Chunk #15:
04_10_2016	391	KAINE	1	0	0	0	0	1	0	0	0	0	I'm a gun-owner.
04_10_2016	392	KAINE	1	0	0	0	0	1	0	0	0	0	I'm a strong Second Amendment supporter.
04_10_2016	393	KAINE	1	0	0	0	0	1	0	0	0	0	But I've got a lot of scar tissue, because when I was governor of Virginia, there was a horrible shooting at Virginia Tech, and we learned that through that painful situation that gaps in the background record check system should have been closed and it could have prevented that crime, and so we're going to work to do things like close background record checks.

Chunk #16:
04_10_2016	412	PENCE	1	0	0	0	0	1	0	0	0	0	It's probably -- probably why the 330,000 members of the Fraternal Order of Police endorsed Donald Trump as the next president of the United States of America, because they see his commitment to them.
04_10_2016	413	PENCE	1	0	0	0	0	1	0	0	0	0	They see his commitment to law and order.
04_10_2016	414	PENCE	1	1	0	0	0	0	0	0	0	0	But they also -- they also hear the bad mouthing, the bad mouthing that comes from people that seize upon tragedy in the wake of police action shootings as -- as a reason to -- to use a broad brush to accuse law enforcement of -- of implicit bias or institutional racism.

Chunk #17:
04_10_2016	436	KAINE	2	0	0	0	0	1	1	0	0	0	But he had been stopped by police 40 or 50 times before that fatal incident.
04_10_2016	437	KAINE	2	0	0	0	0	0	1	1	0	0	And if you look at sentencing in this country, African-Americans and Latinos get sentenced for the same crimes at very different rates.

Chunk #18:
04_10_2016	453	QUIJANO	1	0	0	0	0	1	0	0	0	0	Your fellow Republican, Governor Pence, Senator Tim Scott, who is African-American, recently spoke on the Senate floor.
04_10_2016	454	QUIJANO	1	0	0	0	0	1	0	0	0	0	He said he was stopped seven times by law enforcement in one year.

Chunk #19:
04_10_2016	480	KAINE	2	1	0	0	0	1	0	0	0	0	Donald Trump during his campaign has called Mexicans rapists and criminals.
04_10_2016	481	KAINE	2	1	0	0	0	1	0	0	0	0	He's called women slobs, pigs, dogs, disgusting.
04_10_2016	482	KAINE	1	0	0	0	0	1	0	0	0	0	I don't like saying that in front of my wife and my mother.
04_10_2016	483	KAINE	3	1	0	0	0	1	0	1	0	0	He attacked an Indiana-born federal judge and said he was unqualified to hear a federal lawsuit because his parents were Mexican.
04_10_2016	484	KAINE	3	1	0	0	0	1	1	0	0	0	He went after John McCain, a POW, and said he wasn't hero because he'd been captured.
04_10_2016	485	KAINE	3	1	0	0	0	1	0	1	0	0	He said African-Americans are living in Hell.
04_10_2016	486	KAINE	3	1	0	0	0	1	1	0	0	0	And he perpetrated this outrageous and bigoted lie that President Obama is not a U.S. citizen.
04_10_2016	487	KAINE	1	0	0	0	0	1	0	0	0	0	If you want to have a society where people are respected and respect laws, you can't have somebody at the top who demeans every group that he talks about.
04_10_2016	488	KAINE	1	0	0	0	0	1	0	0	0	0	And I just -- again, I cannot believe that Governor Pence will defend the insult-driven campaign that Donald Trump has run.

Chunk #20:
04_10_2016	494	PENCE	2	0	1	0	0	0	1	0	0	0	Donald Trump's laid out a plan to end illegal immigration once and for all in this country.
04_10_2016	495	PENCE	1	0	1	0	0	0	0	0	0	0	We've been talking it to death for 20 years.
04_10_2016	496	PENCE	5	0	1	0	0	1	1	1	1	0	Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities, all the things that are driving -- that are driving wages down in this country, Senator, and also too often with criminal aliens in the country, it's bringing heartbreak.

Chunk #21:
04_10_2016	514	PENCE	5	0	0	1	1	1	1	1	0	0	I mean, to be honest with you, if Donald Trump had said all of the things that you've said he said in the way you said he said them, he still wouldn't have a fraction of the insults that Hillary Clinton leveled when she said that half of our supporters were a basket of deplorables.
04_10_2016	515	PENCE	1	0	0	1	0	0	0	0	0	0	It's -- she said they were irredeemable, they were not American.

Chunk #22:
04_10_2016	536	KAINE	1	0	0	0	0	0	1	0	0	0	Did he apologize for saying African-Americans are living in Hell?
04_10_2016	537	KAINE	1	0	0	0	0	0	1	0	0	0	Did he apologize for saying President Obama was not even a citizen of the United States?
04_10_2016	538	KAINE	2	0	0	0	1	0	0	1	0	0	You will look in vain to see Donald Trump ever taking responsibility for anybody and apologizing.

Chunk #23:
04_10_2016	550	KAINE	2	0	0	0	0	0	0	1	0	1	These guys -- and Donald Trump have said it -- deportation force.
04_10_2016	551	KAINE	3	0	1	0	0	0	0	1	0	1	They want to go house to house, school to school, business to business, and kick out 16 million people.

Chunk #24:
04_10_2016	564	KAINE	1	1	0	0	0	0	0	0	0	0	Our plan is like Ronald Reagan's plan from 1986.
04_10_2016	565	PENCE	1	0	0	0	0	0	1	0	0	0	They call it comprehensive immigration reform on Capitol Hill.

Chunk #25:
04_10_2016	585	PENCE	1	0	0	0	0	1	0	0	0	0	The reality is that there's heartbreak and tragedy that has struck American families because people that came into this country illegally are now involved in criminal enterprise and activity.
04_10_2016	586	PENCE	1	0	0	0	0	1	0	0	0	0	And we don't have the resources or the will to deport them systemically.

Chunk #26:
04_10_2016	598	KAINE	2	0	0	0	0	1	1	0	0	0	When Donald Trump spoke in Phoenix, he looked the audience in the eye and he said, no, we're building a wall, and we're deporting everybody.
04_10_2016	599	KAINE	2	0	0	0	0	1	1	0	0	0	He said, quote, "They will all be gone."
04_10_2016	600	KAINE	1	0	0	0	0	1	0	0	0	0	They will all be gone.
04_10_2016	601	KAINE	2	0	1	0	0	0	1	0	0	0	And this is one of these ones where you can just go to the tape on it and see what Donald Trump has said.

Chunk #27:
04_10_2016	631	KAINE	1	1	0	0	0	0	0	0	0	0	Donald Trump doesn't have a plan.
04_10_2016	632	KAINE	1	0	0	0	1	0	0	0	0	0	He said, "I have a secret plan," and then he said, "Um, I know more than all the generals about ISIL."
04_10_2016	633	KAINE	1	0	0	0	1	0	0	0	0	0	And then he said, "I'm going to call the generals to help me figure out a plan."
04_10_2016	634	KAINE	1	0	0	0	1	0	0	0	0	0	And finally he said, "I'm going to fire all the generals."
04_10_2016	635	KAINE	1	0	0	0	1	0	0	0	0	0	He doesn't have a plan.

Chunk #28:
04_10_2016	647	KAINE	2	0	0	1	0	0	0	0	0	1	And last and most dangerously, Donald Trump believes -- Donald Trump believes that the world will be safer if more nations have nuclear weapons.
04_10_2016	648	KAINE	3	0	0	1	0	0	1	0	0	1	He's said Saudi Arabia should get them, Japan should get them, Korea should get them.
04_10_2016	649	KAINE	2	0	0	1	0	0	0	0	0	1	And when he was confronted with this, and told, wait a minute, terrorists could get those, proliferation could lead to nuclear war, here's what Donald Trump said, and I quote: "Go ahead, folks, enjoy yourselves."

Chunk #29:
04_10_2016	711	KAINE	1	0	0	0	0	1	0	0	0	0	... put a program in place to keep them out if they're from Syria.
04_10_2016	712	KAINE	2	0	0	0	0	1	0	0	1	0	And yesterday an appellate court with three Republican judges struck down the Pence plan...

Chunk #30:
04_10_2016	760	KAINE	1	0	0	0	0	0	0	0	0	1	That's why Donald Trump's claim that he wants to -- that NATO is obsolete and that we need to get rid of NATO is so dangerous.
04_10_2016	761	PENCE	1	0	0	0	0	0	0	0	1	0	That's not his plan.
04_10_2016	762	KAINE	2	0	0	0	0	0	1	0	1	0	Well, he said NATO is obsolete.

Chunk #31:
04_10_2016	787	KAINE	2	0	0	0	0	1	0	0	0	1	And all investigation concluded that not one reasonable prosecutor would take any additional step.
04_10_2016	788	KAINE	2	0	0	0	0	1	0	0	0	1	You don't get to decide the rights and wrongs of this.
04_10_2016	789	KAINE	2	0	0	0	0	1	0	0	0	1	We have a justice system that does that.
04_10_2016	790	KAINE	3	0	0	0	1	1	0	0	0	1	And a Republican FBI director did an investigation and concluded that...

Chunk #32:
04_10_2016	813	PENCE	1	0	0	1	0	0	0	0	0	0	Hillary Clinton's top priority when she became secretary of state was the Russian reset, the Russians reset.
04_10_2016	814	PENCE	1	0	0	1	0	0	0	0	0	0	After the Russian reset, the Russians invaded Ukraine and took over Crimea.

Chunk #33:
04_10_2016	832	KAINE	1	0	0	0	0	0	0	1	0	0	Donald Trump, again and again, has praised Vladimir Putin.
04_10_2016	833	KAINE	1	0	0	0	0	0	0	1	0	0	And it's clear that he has business dealings with Russian oligarchs who are very connected to Putin.
04_10_2016	834	KAINE	1	0	0	0	0	0	1	0	0	0	The Trump campaign management team had to be fired a month or so ago because of those shadowy connections with pro-Putin forces.
04_10_2016	835	KAINE	1	0	0	0	0	0	1	0	0	0	Governor Pence made the odd claim, he said inarguably Vladimir Putin is a better leader than President Obama.

Chunk #34:
04_10_2016	966	PENCE	1	0	0	0	0	0	1	0	0	0	Don't put words in my mouth.
04_10_2016	967	PENCE	2	0	0	0	0	1	1	0	0	0	Well, he never said that, Senator.

Chunk #35:
04_10_2016	990	PENCE	1	0	0	0	0	0	0	1	0	0	He knew that.
04_10_2016	991	KAINE	1	0	0	0	0	1	0	0	0	0	Hillary Clinton has gone toe-to-toe with Russia to work out a deal on New START.
04_10_2016	992	KAINE	1	0	0	0	0	1	0	0	0	0	She got them engaged on a meaningful way to cap Iran's nuclear weapons program.
04_10_2016	993	KAINE	1	0	0	0	0	1	0	0	0	0	And yet she stood up to them on issues such as Syria and their invasion of Georgia.

Chunk #36:
04_10_2016	1062	KAINE	1	0	0	0	0	1	0	0	0	0	Well, this is one where we can just kind of go to the tape on it.
04_10_2016	1063	KAINE	4	0	1	0	1	1	0	0	0	1	But Governor Pence said, inarguably, Vladimir Putin is a better leader than President Obama.
04_10_2016	1064	PENCE	3	0	1	0	1	0	0	0	0	1	That is absolutely inaccurate.
04_10_2016	1065	KAINE	1	0	1	0	0	0	0	0	0	0	And -- and -- and I just think a guy who praises...
04_10_2016	1066	PENCE	3	0	1	0	1	0	0	0	0	1	He said he's stronger -- he's been stronger on the world stage.
04_10_2016	1067	KAINE	2	0	1	0	1	0	0	0	0	0	No, he said leader.

Chunk #37:
04_10_2016	1119	PENCE	1	0	0	0	0	0	0	0	1	0	But the Clintons figured out a way to create a foundation where foreign governments and foreign donors could donate millions of dollars.
04_10_2016	1120	PENCE	3	0	0	0	1	1	0	1	0	0	And then we found, thanks to the good work of the Associated Press, that more than half her private meetings when she was secretary of state were given to major donors of the Clinton Foundation.

Chunk #38:
04_10_2016	1149	KAINE	1	0	0	1	0	0	0	0	0	0	The foundation was just fined for illegally contributing foundation dollars to a political campaign of a Florida attorney general.
04_10_2016	1150	KAINE	1	0	0	1	0	0	0	0	0	0	They made an illegal contribution, and then they tried to hide it by disguising it to somebody else.
04_10_2016	1151	KAINE	1	0	0	1	0	0	0	0	0	0	And the person they donated to was somebody whose office was charged with investigating Trump University.

Chunk #39:
04_10_2016	1157	PENCE	2	0	1	0	0	0	0	0	0	1	The Trump Foundation is a private family foundation.
04_10_2016	1158	PENCE	2	0	1	0	0	0	0	0	0	1	They give virtually every cent in the Trump Foundation to charitable causes.
04_10_2016	1159	KAINE	1	0	1	0	0	0	0	0	0	0	Political
04_10_2016	1160	PENCE	6	0	1	1	0	1	1	0	1	1	Less than ten cents on the dollar in the Clinton Foundation has gone to charitable causes.

Chunk #40:
04_10_2016	1179	KAINE	1	0	0	0	0	1	0	0	0	0	Often China will use their veto in the Security Council to veto a package like that.
04_10_2016	1180	KAINE	1	0	0	0	0	1	0	0	0	0	They're starting to get worried about North Korea, too.
04_10_2016	1181	KAINE	1	0	0	0	0	1	0	0	0	0	So they actually supported the sanctions package, even though many of the sanctions are against Chinese firms, Chinese financial institutions.

Chunk #41:
04_10_2016	1185	KAINE	1	0	0	0	0	1	0	0	0	0	She went once famously to China and stood up at a human rights meeting and looked them in the eye and said, "Women's rights are human rights."
04_10_2016	1186	KAINE	1	0	0	0	0	1	0	0	0	0	They didn't want her to say that, but she did.

Chunk #42:
04_10_2016	1258	KAINE	1	1	0	0	0	0	0	0	0	0	And that is the fundamental difference between a Clinton-Kaine ticket and a Trump- Pence ticket that wants to punish women who make that choice.
04_10_2016	1259	PENCE	1	1	0	0	0	0	0	0	0	0	No, it's really not.
04_10_2016	1260	PENCE	3	1	1	0	0	0	0	1	0	0	Donald Trump and I would never support legislation that punished women who made the heartbreaking choice to end a pregnancy.

Chunk #43:
04_10_2016	1282	PENCE	3	0	0	0	1	1	1	0	0	0	He also said and many of them are good people.
04_10_2016	1283	PENCE	2	0	0	0	0	1	1	0	0	0	You keep leaving that out of your quote.
04_10_2016	1284	PENCE	1	0	0	0	0	1	0	0	0	0	And if you want me to go there, I'll go there.
04_10_2016	1285	PENCE	1	0	0	0	0	1	0	0	0	0	But here's -- there is a choice, and it is a choice on life.
04_10_2016	1286	PENCE	1	0	0	0	0	1	0	0	0	0	I couldn't be more proud to be standing with Donald Trump, who's standing for the right to life.
Debate	ID	Speaker	ALL	CT	ABC	CNN	WP	NPR	PF	TG	NYT	FC	Text

Chunk #44:
19_10_2016	42	TRUMP	3	0	0	1	1	1	0	0	0	0	Something happened recently where Justice Ginsburg made some very, very inappropriate statements toward me and toward a tremendous number of people, many, many millions of people that I represent.
19_10_2016	43	TRUMP	3	0	0	1	0	1	0	0	1	0	And she was forced to apologize.
19_10_2016	44	TRUMP	2	0	0	1	0	1	0	0	0	0	And apologize she did.
19_10_2016	45	TRUMP	1	0	0	0	0	1	0	0	0	0	But these were statements that should never, ever have been made.

Chunk #45:
19_10_2016	89	TRUMP	1	0	0	1	0	0	0	0	0	0	And it was a well-crafted decision.
19_10_2016	90	TRUMP	1	0	0	1	0	0	0	0	0	0	But Hillary was extremely upset, extremely angry.

Chunk #46:
19_10_2016	106	TRUMP	4	0	0	1	0	1	0	1	0	1	In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city.
19_10_2016	107	TRUMP	3	0	0	1	0	1	0	0	0	1	So we have the toughest laws, and you have tremendous gun violence.

Chunk #47:
19_10_2016	124	TRUMP	1	0	0	1	0	0	0	0	0	0	Well, if we put another two or perhaps three justice on, that's really what's going to be -- that will happen.
19_10_2016	125	TRUMP	1	0	0	1	0	0	0	0	0	0	And that'll happen automatically, in my opinion, because I am putting pro-life justices on the court.

Chunk #48:
19_10_2016	138	WALLACE	3	0	0	0	1	0	1	0	0	1	And, indeed, he said women should be punished, that there should be some form of punishment for women who obtain abortions.
19_10_2016	139	WALLACE	1	0	0	0	1	0	0	0	0	0	And I could just not be more opposed to that kind of thinking.

Chunk #49:
19_10_2016	188	TRUMP	1	0	0	0	0	0	0	0	1	0	Hillary wants to give amnesty.
19_10_2016	189	TRUMP	5	0	1	0	0	0	1	1	1	1	She wants to have open borders.
19_10_2016	190	TRUMP	4	0	1	0	0	1	1	1	0	0	The border -- as you know, the Border Patrol agents, 16,500-plus ICE last week, endorsed me.
19_10_2016	191	TRUMP	2	0	1	0	0	0	0	1	0	0	First time they've ever endorsed a candidate.

Chunk #50:
19_10_2016	199	TRUMP	3	0	0	0	0	1	1	1	0	0	All of the problems -- the single biggest problem is heroin that pours across our southern border.
19_10_2016	200	TRUMP	1	0	0	0	0	0	0	1	0	0	It's just pouring and destroying their youth.

Chunk #51:
19_10_2016	208	TRUMP	1	0	0	0	0	1	0	0	0	0	We need the wall.
19_10_2016	209	TRUMP	1	0	0	0	0	1	0	0	0	0	And the Border Patrol, ICE, they all want the wall.

Chunk #52:
19_10_2016	229	CLINTON	1	0	0	0	0	1	0	0	0	0	It means you would have to have a massive law enforcement presence, where law enforcement officers would be going school to school, home to home, business to business, rounding up people who are undocumented.
19_10_2016	230	CLINTON	1	0	0	0	0	1	0	0	0	0	And we would then have to put them on trains, on buses to get them out of our country.

Chunk #53:
19_10_2016	238	CLINTON	1	0	0	0	0	0	0	0	1	0	When it comes to the wall that Donald talks about building, he went to Mexico, he had a meeting with the Mexican president.
19_10_2016	239	CLINTON	1	0	0	0	0	0	0	0	1	0	Didn't even raise it.
19_10_2016	240	CLINTON	1	0	0	0	0	0	0	0	1	0	He choked and then got into a Twitter war because the Mexican president said we're not paying for that wall.

Chunk #54:
